paper,total_cites
"Bartik instruments: What, when, why, and how",3459
Predictably unequal? The effects of machine learning on credit markets,1067
Sea-level rise exposure and municipal bond yields,376
MBS ratings and the mortgage credit boom,338
"Liquidity, bank runs, and bailouts: spillover effects during the Northern Rock episode",218
Excess death rates for republican and democratic registered voters in Florida and Ohio during the COVID-19 pandemic,199
"Bad credit, no problem? Credit and labor market consequences of bad credit reports",198
Contamination bias in linear regressions,192
Can a trusted messenger change behavior when information is plentiful? Evidence from the first months of the COVID-19 pandemic in West Bengal,190
Gender representation in economics across topics and time: Evidence from the NBER summer institute,174
The gender gap in housing returns,170
Consumer bankruptcy and financial health,169
Comparison of knowledge and information-seeking behavior after general COVID-19 public health messages and messages tailored for Black and Latinx communities: a randomized …,150
Macroeconomic effects of debt relief: Consumer bankruptcy protections in the great recession,129
Effects of a large-scale social media advertising campaign on holiday travel and COVID-19 infections: a cluster randomized controlled trial,127
Credit ratings and security prices in the subprime MBS market,116
Changes in racial and ethnic disparities in access to care and health among US adults at age 65 years,103
Heterogeneous real estate agents and the housing cycle,83
"Effect of physician-delivered COVID-19 public health messages and messages acknowledging racial inequity on black and white adults’ knowledge, beliefs, and practices related to …",72
Parsing the content of bank supervision,70
End COVID-19 in low-and middle-income countries,66
Contagion effects of the silicon valley bank run,56
Predicting initial unemployment insurance claims using Google Trends,53
Opting out of good governance,43
The great equalizer: Medicare and the geography of consumer financial strain,37
Interacting regional policies in containing a disease,34
Tracking the credibility revolution across fields,31
Anonymity and identity online,23
The impact of large-scale social media advertising campaigns on COVID-19 vaccination: Evidence from two randomized controlled trials,23
Composite Poisson models for goal scoring,19
Leniency Designs: An Operator’s Manual,5
Non-robustness of diffusion estimates on networks with measurement error,5
Mobile phone messaging to promote preventive behaviors,2
Human-AI Collaboration in Radiology: The Case of Pulmonary Embolism,1
